execution_time,memory_usage,fps,success,pixel,distance,consumption,cpu_utilization,device_type,GPU,Config
48.0,44.0,12,False,25440,27,8,71.9,Nano 2GB,False,None
58.0,45.5,16,True,102240,26,8,100.0,Nano 2GB,False,None
58.0,47.7,30,True,102240,6,8,100.0,Nano 2GB,False,None
53.0,48.1,30,True,409920,3,8,93.3,Nano 2GB,False,None
48.0,44.3,26,False,25440,609,8,100.0,Nano 2GB,False,None
60.0,49.0,26,True,921600,5,7,100.0,Nano 2GB,False,None
48.0,43.9,30,False,25440,24,8,100.0,Nano 2GB,False,None
55.0,45.5,12,True,102240,26,7,81.3,Nano 2GB,False,None
146.0,47.1,20,False,102240,9,9,100.0,Nano 2GB,False,None
58.0,48.9,20,True,921600,19,7,100.0,Nano 2GB,False,None
57.0,47.9,26,True,230400,11,8,100.0,Nano 2GB,False,None
58.0,48.5,30,True,921600,9,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,75,8,100.0,Nano 2GB,False,None
58.0,48.3,12,True,230400,18,6,78.1,Nano 2GB,False,None
57.0,48.3,16,True,230400,56,7,100.0,Nano 2GB,False,None
72.0,48.6,30,True,921600,12,8,100.0,Nano 2GB,False,None
56.0,45.5,12,True,102240,23,7,76.5,Nano 2GB,False,None
50.0,48.3,12,True,921600,27,8,76.5,Nano 2GB,False,None
48.0,44.2,16,False,25440,577,7,96.0,Nano 2GB,False,None
59.0,47.9,26,True,230400,12,8,100.0,Nano 2GB,False,None
48.0,44.3,20,False,25440,593,8,100.0,Nano 2GB,False,None
52.0,45.5,12,True,102240,25,7,76.5,Nano 2GB,False,None
48.0,43.9,20,False,25440,334,7,100.0,Nano 2GB,False,None
53.0,45.5,12,True,102240,22,7,84.4,Nano 2GB,False,None
48.0,43.8,16,False,25440,105,7,95.7,Nano 2GB,False,None
56.0,48.9,26,True,921600,7,7,100.0,Nano 2GB,False,None
57.0,47.9,30,True,230400,8,8,100.0,Nano 2GB,False,None
60.0,48.1,26,True,409920,5,8,100.0,Nano 2GB,False,None
53.0,47.7,30,True,102240,14,8,96.7,Nano 2GB,False,None
51.0,44.8,30,True,57600,0,8,100.0,Nano 2GB,False,None
53.0,44.8,30,True,57600,7,8,100.0,Nano 2GB,False,None
58.0,48.6,26,True,409920,26,7,100.0,Nano 2GB,False,None
57.0,47.9,26,True,230400,10,8,100.0,Nano 2GB,False,None
60.0,48.6,30,True,921600,11,8,100.0,Nano 2GB,False,None
59.0,48.4,30,True,230400,10,9,100.0,Nano 2GB,False,None
49.0,43.9,30,False,25440,24,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,264,8,100.0,Nano 2GB,False,None
86.0,44.8,30,True,57600,14,8,100.0,Nano 2GB,False,None
59.0,48.6,30,True,921600,12,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,29,8,100.0,Nano 2GB,False,None
103.0,47.7,12,True,230400,14,8,77.8,Nano 2GB,False,None
57.0,48.6,20,True,409920,10,7,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,29,7,100.0,Nano 2GB,False,None
57.0,48.9,26,True,921600,12,7,100.0,Nano 2GB,False,None
55.0,45.5,20,True,102240,22,8,100.0,Nano 2GB,False,None
55.0,48.9,20,True,921600,16,9,100.0,Nano 2GB,False,None
48.0,44.0,30,False,25440,178,8,100.0,Nano 2GB,False,None
59.0,48.1,26,True,409920,20,7,100.0,Nano 2GB,False,None
64.0,47.7,30,True,102240,15,8,100.0,Nano 2GB,False,None
59.0,47.9,26,True,230400,12,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,610,7,100.0,Nano 2GB,False,None
56.0,47.7,30,True,102240,13,8,100.0,Nano 2GB,False,None
58.0,48.1,30,True,409920,13,8,96.4,Nano 2GB,False,None
56.0,48.6,26,True,409920,16,7,100.0,Nano 2GB,False,None
58.0,48.6,20,True,409920,19,7,100.0,Nano 2GB,False,None
57.0,48.6,20,True,409920,19,7,100.0,Nano 2GB,False,None
49.0,43.9,20,False,25440,595,7,100.0,Nano 2GB,False,None
58.0,48.6,30,True,921600,3,8,100.0,Nano 2GB,False,None
56.0,48.4,12,True,921600,15,7,81.8,Nano 2GB,False,None
53.0,48.4,12,True,921600,25,7,78.1,Nano 2GB,False,None
48.0,44.3,20,False,25440,334,8,100.0,Nano 2GB,False,None
49.0,44.3,26,False,25440,264,8,100.0,Nano 2GB,False,None
63.0,48.4,16,True,921600,8,8,100.0,Nano 2GB,False,None
53.0,48.4,12,True,409920,29,8,77.1,Nano 2GB,False,None
55.0,47.7,30,True,102240,0,8,100.0,Nano 2GB,False,None
58.0,47.7,30,True,102240,40,8,100.0,Nano 2GB,False,None
59.0,48.6,20,True,409920,19,7,100.0,Nano 2GB,False,None
59.0,47.8,26,True,230400,18,8,100.0,Nano 2GB,False,None
48.0,43.9,16,False,25440,105,7,92.0,Nano 2GB,False,None
58.0,47.8,20,True,230400,20,8,100.0,Nano 2GB,False,None
60.0,47.9,26,True,230400,8,8,100.0,Nano 2GB,False,None
59.0,48.6,26,True,409920,9,7,100.0,Nano 2GB,False,None
48.0,44.4,26,False,25440,609,8,100.0,Nano 2GB,False,None
50.0,44.3,26,False,25440,609,8,100.0,Nano 2GB,False,None
99.0,44.3,16,False,921600,71,6,96.0,Nano 2GB,False,None
52.0,44.8,30,False,57600,14,8,100.0,Nano 2GB,False,None
57.0,47.7,26,True,102240,12,9,100.0,Nano 2GB,False,None
48.0,43.9,30,False,25440,9,8,100.0,Nano 2GB,False,None
58.0,48.1,30,True,409920,16,8,100.0,Nano 2GB,False,None
61.0,48.9,26,True,921600,9,7,100.0,Nano 2GB,False,None
48.0,43.9,30,False,25440,24,8,100.0,Nano 2GB,False,None
48.0,43.9,26,False,25440,609,8,100.0,Nano 2GB,False,None
58.0,48.6,26,True,921600,18,8,93.1,Nano 2GB,False,None
58.0,47.7,26,True,102240,9,8,96.4,Nano 2GB,False,None
48.0,43.9,26,False,25440,609,8,100.0,Nano 2GB,False,None
56.0,44.9,26,False,25440,264,8,100.0,Nano 2GB,False,None
113.0,45.5,30,True,57600,13,8,100.0,Nano 2GB,False,None
48.0,44.2,20,False,25440,593,8,95.2,Nano 2GB,False,None
60.0,48.9,20,True,921600,21,7,100.0,Nano 2GB,False,None
50.0,44.8,30,True,57600,10,8,100.0,Nano 2GB,False,None
59.0,48.5,16,True,409920,20,8,100.0,Nano 2GB,False,None
58.0,48.6,20,True,409920,14,9,100.0,Nano 2GB,False,None
52.0,47.7,30,True,102240,7,8,100.0,Nano 2GB,False,None
49.0,44.0,12,False,25440,43,6,97.1,Nano 2GB,False,None
60.0,49.0,26,True,921600,8,7,100.0,Nano 2GB,False,None
58.0,48.4,30,True,230400,12,8,100.0,Nano 2GB,False,None
48.0,43.9,20,False,25440,593,7,100.0,Nano 2GB,False,None
61.0,48.1,30,True,409920,5,8,100.0,Nano 2GB,False,None
59.0,45.5,16,True,102240,17,7,100.0,Nano 2GB,False,None
57.0,48.3,12,True,230400,10,6,76.5,Nano 2GB,False,None
48.0,44.2,16,False,25440,577,7,96.0,Nano 2GB,False,None
48.0,43.9,16,False,25440,577,7,92.3,Nano 2GB,False,None
