execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,device_type
13,2023-06-02 11:51:59.108296,40.3,86.7,25440,12,False,580.0,22,
7,2023-06-02 11:51:59.185760,43.2,86.7,25440,12,False,580.0,22,
17,2023-06-02 11:51:59.279949,40.1,86.7,25440,12,False,580.0,22,
7,2023-06-02 11:51:59.353322,49.6,86.7,25440,12,False,580.0,22,
14,2023-06-02 11:51:59.444896,39.3,86.7,25440,12,False,580.0,22,
7,2023-06-02 11:51:59.521546,44.6,86.7,25440,12,False,580.0,22,
16,2023-06-02 11:51:59.614970,38.1,86.7,25440,12,False,580.0,22,
7,2023-06-02 11:51:59.689455,46.2,86.7,25440,12,False,580.0,22,
8,2023-06-02 11:51:59.774704,42.6,86.7,25440,12,False,580.0,22,
9,2023-06-02 11:51:59.860523,54.0,86.7,25440,12,False,580.0,22,
7,2023-06-02 11:51:59.941751,44.4,86.7,25440,12,False,580.0,22,
15,2023-06-02 11:52:00.034063,40.7,86.7,25440,12,False,580.0,22,
6,2023-06-02 11:52:00.109252,45.9,86.7,25440,12,False,580.0,22,
17,2023-06-02 11:52:00.203497,37.2,86.7,25440,12,False,580.0,22,
6,2023-06-02 11:52:00.276731,51.6,86.7,25440,12,False,580.0,22,
16,2023-06-02 11:52:00.369807,38.7,86.7,25440,12,False,580.0,22,
7,2023-06-02 11:52:00.445622,49.2,86.7,25440,12,False,580.0,22,
17,2023-06-02 11:52:00.539675,37.7,86.7,25440,12,False,580.0,22,
7,2023-06-02 11:52:00.614313,49.2,86.7,25440,12,False,580.0,22,
17,2023-06-02 11:52:00.708509,39.2,86.7,25440,12,False,580.0,22,
9,2023-06-02 11:52:00.728389,78.1,86.7,25440,12,False,580.0,22,
15,2023-06-02 11:52:00.818597,37.6,86.7,25440,12,False,580.0,22,
6,2023-06-02 11:52:00.894024,48.3,86.7,25440,12,False,580.0,22,
13,2023-06-02 11:52:00.984610,38.9,86.7,25440,12,False,580.0,22,
6,2023-06-02 11:52:01.061507,43.3,86.7,25440,12,False,580.0,22,
17,2023-06-02 11:52:01.155809,39.2,86.7,25440,12,False,580.0,22,
6,2023-06-02 11:52:01.228947,52.2,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:01.316541,39.7,86.7,25440,12,False,580.0,22,
7,2023-06-02 11:52:01.398220,44.5,86.7,25440,12,False,580.0,22,
8,2023-06-02 11:52:01.482512,43.2,86.7,25440,12,False,580.0,22,
9,2023-06-02 11:52:01.567603,44.4,86.7,25440,12,False,580.0,22,
9,2023-06-02 11:52:01.651549,47.7,86.7,25440,12,False,580.0,22,
9,2023-06-02 11:52:01.736097,50.7,86.7,25440,12,False,580.0,22,
9,2023-06-02 11:52:01.820879,49.6,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:01.904738,51.5,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:01.988955,51.9,86.7,25440,12,False,580.0,22,
10,2023-06-02 11:52:02.073120,52.2,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:02.158948,51.9,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:02.242195,53.7,86.7,25440,12,True,349.0,22,
10,2023-06-02 11:52:02.325882,53.0,86.7,25440,12,False,349.0,22,
